concept,variant_or_exact_phrase,frequency,appears_in_courses,appears_in_sections,example_course_uid,example_text_exact,notes
författningar,författningar,90,MVA308_v01;MVG201_v01;MVG501_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA135_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG514_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA041_v01,"3. analysera genomförda omvårdnadsåtgärder vid vård i livets slutskede samt reflektera över och presentera ett familjefokuserat arbetssätt i nämnd vårdsituation med stöd av litteratur och forskning inom området 4, analysera, diskutera och reflektera över lagar och författningar inom distriktssköterskans yrkesroll inklusive delegering",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
vfu,vfu,78,MVG201_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA071_v01;OMA081_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;examination;learning_outcomes;modules;other;teaching_and_learning,OMA071_v01,"Övriga föreskrifter —— För information om kriterier för de olika betygsgraderna hänvisas till studiehandledning. Kursen ingår som obligatorisk kurs i specialistsjuksköterskeprogrammet - inriktning anestesisjukvård, 60 hp. Examinator har möjlighet att besluta om anpassad eller alternativ examination för studenter med dokumenterad funktionsnedsättning. Bogränsningar För att få påbörja den första verksamhetsförlagda utbildningen (VFU 1) ska momenten 0001, 0002, 0003 vara godkända. För studenter som ej nyttjat eller underkänts vid ordinarie examinationstillfälle ges möjlighet till ytterligare fyra examinationstillfällen. Ett ordinarie examinationstillfälle och två ytterligare examinationstillfällen ges i anslutning till kursens Mis:ledu nig selocs/svsykabuabourse/OMADT 1 Tvakd-tom=2025-01-20 a",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
primärvård,primärvård,74,OMA041_v01;OMA042_v01;OMG402_v01;OMG517_v01,course_content;examination;learning_outcomes;metadata;modules;teaching_and_learning,OMA041_v01,7. visa förmåga att medverka vid och självständ; och behandlingar inom primärvård tföra undersökningar,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
hemsjukvård,hemsjukvård,71,OMA041_v01;OMA135_v01;OMG403_v01;OMG551_v01,course_content;examination;learning_outcomes;metadata;modules;teaching_and_learning,OMA041_v01,5. visa självständigt och I samverkan med patient och närstående identifiera och kommunicera vårdbehov och upprätta omvårdnadsplan inom hemsjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
verksamhetsförlagd utbildning,verksamhetsförlagd utbildning,68,MVG201_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA071_v01;OMA081_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;entry_requirements;examination;learning_outcomes;modules;other;teaching_and_learning,OMA071_v01,"--- OCR page 3 --- + medicinsk teknik, gas- och ellära + anestesisjuksköterskans kompetens- och ansvarsområde + personcentrerad omvårdnad under den perioperativa vården + omhändertagande vid akuta tillstånd/sjukdomar + vårdhygien, vårdrelaterade infektioner och antibiotikaresistens + klinisk färdighetsträning i A-E och luftvägshantering + etiologi, patofysiologi, diagnostik och behandling vid specifika sjukdomstillstånd + specifik farmakologi + vätske, blod- och elektrolytbalans + kommunikation, information och undervisning + mänskliga rättigheter relaterat till FN:s allmänna förklaring + samverka och samarbeta i vårdteamet + fältstudie inom anestesisjukvård + verksamhetsförlagd utbildning inom anestesivård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
kommunikation,kommunikation,54,MVG201_v01;OMA042_v01;OMA071_v01;OMA081_v01;OMA136_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG516_v01;OMG518_v01;OMG520_v01;OMG551_v01;OMG805_v01,course_content;learning_outcomes;metadata,OMA071_v01,"17. beskriva och bedöma möjligheter och hinder för god kommunikation med patienter och närstående, reflektera över hur detta kan påverka patienter och närstående utifrån FN:s allmänna förklaring om mänskliga rättigheter",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
barn,barn,51,MVA309_v01;MVG201_v01;MVG501_v01;OMA043_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG551_v01,course_content;entry_requirements;learning_outcomes;metadata;other,MVA309_v01,"1. förklara farmakologiska begrepp och principer samt farmakokinetiska farmakodynamiska processer I allmänhet och I relation till gravidit amning, barn och äldre",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
läkemedel,läkemedel,48,MVA308_v01;MVA309_v01;MVG201_v01;MVG501_v01;OMA071_v01;OMA081_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA071_v01,3. förklara verkningsmekanismer och biverkningar avseende vanligt förekommande läkemedel som används inom anestesisjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
etiska,etiska,47,MVG201_v01;OMA040_v01;OMA041_v01;OMA070_v01;OMA080_v01;OMA131_v01;OMA133_v01;OMA135_v01;OMA405_v01;OMA406_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG402_v01;OMG403_v01;OMG516_v01;OMG551_v01,course_content;learning_outcomes,OMA070_v01,3. argumentera för etiska aspekter i relation till forsknings- och forskaretik,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
examensarbete,examensarbete,46,OMA708_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG805_v01,course_content;entry_requirements;examination;learning_outcomes;metadata;other,OMA717_v01,"--- OCR page 1 --- Akademin för hälsa och arbetsliv KURSPLAN Faculty of Health and Occupational Studies HÖGSKOLAN I GÄVLE Examensarbete inom anestesisjuksköterskans kunskapsområde 13.0 hp Thesis in Nursing Anaesthetics on advanced level 15.0 cr Fastställd av: Akademi för hälsa och arbetsliv, 2023-10-23 Giltig från och med: 2025-01-20 utbildningsnivå Avancerad nivå Kurskod OMATI7 Omfattning 15.0 hp Huvudområde Omvårdnad AlE Ämnesgrupp Omvårdnad/omvårdnadsvetenskap Utbildningsområde Vårdområdet 100 36",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
undervisning,undervisning,45,MVA308_v01;MVA309_v01;MVG201_v01;MVG501_v01;OMA040_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA070_v01;OMA071_v01;OMA080_v01;OMA081_v01;OMA131_v01;OMA132_v01;OMA133_v01;OMA135_v01;OMA136_v01;OMA405_v01;OMA406_v01;OMA708_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG551_v01;OMG805_v01,course_content;learning_outcomes;teaching_and_learning,OMA071_v01,1. visa vårdpedagogisk förmåga vid information och undervisning till patienter och närstående inom anestesisjuksköterskans ansvarsområde,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
äldreomsorg,äldreomsorg,44,OMG518_v01;OMG551_v01,learning_outcomes,OMG518_v01,1. tillämpa god kommunikation i mötet med patient och närstående. inom äldreomsorg med beaktande av ett empatiskt förhållningssätt samt kunna ge anpassad information utifrån ett personcentrarat förhållningssätt,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
omvårdnadsprocessen,omvårdnadsprocessen,38,MVG201_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG403_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA406_v01,"6. självständigt utifrån omvårdnadsprocessen utforma en personcentrerad omvårdnadsplan, dokumentera och utvärdera genomförda omvårdnadsåtgärder inför och under operativa ingrepp, vid vård av kritiskt sjuka patienter för att möta lidande och främja välbefinnandet",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
intensivvård,intensivvård,35,OMA080_v01;OMA081_v01;OMA405_v01;OMA716_v01,course_content;learning_outcomes;metadata;other;teaching_and_learning,OMA081_v01,"--- OCR page 1 --- Akademin för hälsa och arbetsliv KURSPLAN Faculty of Health and Occupational Studies HÖGSKOLAN I GÄVLE Avancerad omvårdnad med inriktning mot intensivvård I 22.5 hp Advanced Specialist Nursing in Intensive Care I 22.5 cr Fastställd av: Akademi för hälsa och arbetsliv, 2023-12-14 Giltig från och med: 2025-01-20 utbildningsnivå Avancerad nivå Kurskod OMAOB1 Omfattning 22.5 hp Huvudområde Omvårdnad AIN Ämnesgrupp Omvårdnad/omvårdnadsvetenskap Utbildningsområde Vårdområdet 55 96 Medicinska området 45 96",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
hållbar utveckling,hållbar utveckling,34,MVA308_v01;MVA309_v01;MVG201_v01;MVG501_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA070_v01;OMA071_v01;OMA080_v01;OMA081_v01;OMA132_v01;OMA133_v01;OMA135_v01;OMA405_v01;OMA406_v01;OMA708_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG519_v01;OMG520_v01;OMG551_v01;OMG805_v01,modules;other,OMA071_v01,Hållbar utveckling Kursen har inslag av hållbar utveckling,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
samverkan,samverkan,34,MVG201_v01;OMA041_v01;OMA043_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA406_v01,"2. redogöra för räddningsorganisation, samverkan, principer för prioritering, omhändertagande av skadade och utvärdering av katastrofarbete samt reflektera över anestesisjuksköterskans roll i samband med större olyckor, katastrofer och särskilda händelser",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
psykiatrisk,psykiatrisk,28,OMG403_v01;OMG517_v01,course_content;learning_outcomes,OMG517_v01,2. utifrån omvårdnadsprocessen och ett personcentrerat. förhållningssätt diskutera vård för patienter inom psykiatrisk vård med utgångspunkt i upplevda kliniska händelser tera över författningar av särskild relevans för psykiatrisk vård + reflektera över utvalda patientfall och situationer base dodung soocsievylaousiearasOM GS vals tom 2023-01-16,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
personcentrerat,personcentrerat,27,MVA309_v01;MVG201_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG517_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,MVA309_v01,-läkemedelsbehandling utifrån ett personcentrerat förhållningssätt,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
evidensbaserad,evidensbaserad,26,MVG201_v01;OMA041_v01;OMA042_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG551_v01,course_content;learning_outcomes,OMA041_v01,"--- OCR page 3 --- + hälsofrämjande omvårdnad vid folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + klass, genus och etnicitet I omvårdnad och folkhälsoarbete + jämställdhet i relation till hälsa + relevanta författningar + folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + psykisk ohälsa > åldres ohälsa + evidensbaserad omvårdnad + bedömning och prioritering av vårdbehov inom primärvård och hemsjukvård + etiskt förhållningssätt i mötet med patienter, närstående och + familjefokuserad omvårdnad vid olika komplexa och långvariga sjukdomstillstånd samt vård i livets slutskede för vuxna och äldre + delegering > mäns våld mot kvinnor och våld i nära relation + verksamhetsförlagd utbildning (VFU) inklusive fältstudier inom hemsjukvård och primärvård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
forskaretik,forskaretik,26,MVG201_v01;OMA040_v01;OMA070_v01;OMA080_v01;OMA132_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG551_v01;OMG805_v01,course_content;learning_outcomes;other,OMA070_v01,3. argumentera för etiska aspekter i relation till forsknings- och forskaretik,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
teamarbete,teamarbete,25,OMA136_v01;OMG402_v01;OMG403_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA136_v01,"1. beskriva, kritiskt bearbeta och kontrastera teorler och modeller för ledarskap, organisation, förändringsarbete och kunskapsimplementering av vikt för omvårdnaden- och ett tvärprofessionellt teamarbete",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
farmakologi,farmakologi,24,MVA308_v01;MVA309_v01;MVG201_v01;MVG501_v01;OMA071_v01;OMA081_v01,course_content;learning_outcomes;metadata,OMA071_v01,"5. redogöra för specifik farmakologi av vanligt förekommande läkemedel nom anestesisjukvård, motivera val av dessa utifrån ett fysiologiskt och patofysiologiskt perspektiv samt utvärdera dess effekter",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
projektplan,projektplan,23,OMA040_v01;OMA070_v01;OMA080_v01;OMG551_v01;OMG805_v01,course_content;entry_requirements;learning_outcomes,OMA070_v01,"8. skriftligt utforma och muntligt försvara en projektplan med adekvat design, metoder för datainsamling och -analys",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
säker vård,säker vård,22,MVG201_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG551_v01,course_content;learning_outcomes,MVG201_v01,"Kursens innehåll mänskliga rättigheter människosyn värdegrund för omvårdnad de fyra centrala principerna för medicinsk etik förhållningssätt, bemötande, empati och självkännedom organisation av hälso- och sjukvård samt vård- och omsorg i Sverige 2026-03-18 11:38 MVG201 https://edu.hig.se/docs/sv/syllabus/course/MVG201?valid-from=2024-09-02 2/6 relevanta författningar vad som utmärker ett vetenskapligt förhållningssätt samt en vetenskaplig artikel kvalitativ samt kvantitativ forskningsansats forsknings- och forskaretik, referenshantering utvecklingspsykologi cellbiologi vävnads- och organtyper nervsystemet sinnena rörelseapparaten cirkulationssystemet virus och bakteriers påverkan på människans hälsa och ohälsa immunologi vårdhygien: betydelse för att förhindra smittspridning och uppkomst av vårdrelaterade infektioner samt basala hygienrutiner och klädregler läkemedels och engångsmaterials påverkan på miljö farmakologi evidensbegreppet grundläggande omvårdnadsbehov vanligt förekommande ",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
psykisk ohälsa,psykisk ohälsa,20,OMA041_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG551_v01,course_content;entry_requirements;learning_outcomes;metadata,OMA041_v01,"--- OCR page 3 --- + hälsofrämjande omvårdnad vid folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + klass, genus och etnicitet I omvårdnad och folkhälsoarbete + jämställdhet i relation till hälsa + relevanta författningar + folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + psykisk ohälsa > åldres ohälsa + evidensbaserad omvårdnad + bedömning och prioritering av vårdbehov inom primärvård och hemsjukvård + etiskt förhållningssätt i mötet med patienter, närstående och + familjefokuserad omvårdnad vid olika komplexa och långvariga sjukdomstillstånd samt vård i livets slutskede för vuxna och äldre + delegering > mäns våld mot kvinnor och våld i nära relation + verksamhetsförlagd utbildning (VFU) inklusive fältstudier inom hemsjukvård och primärvård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
hlr,hlr,19,MVG201_v01;OMA043_v01;OMG403_v01;OMG515_v01;OMG519_v01,course_content;learning_outcomes,OMA043_v01,7. visa förmåga att självständigt genomföra S-HLR (hjärt och lungräddning. barn för sjukvårdspersonal),Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
styrdokument,styrdokument,19,OMA136_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG514_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA136_v01,"2. granska, analysera och värdera relevanta lagar, regelverk och styrdokument inom verksamhetsområdet samt för professionen och hur dessa kan stödja eller hindra tvärprofessionellt teamarbete",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
lagar,lagar,18,OMA041_v01;OMA043_v01;OMA135_v01;OMA136_v01;OMG403_v01;OMG518_v01,course_content;learning_outcomes,OMA041_v01,"3. analysera genomförda omvårdnadsåtgärder vid vård i livets slutskede samt reflektera över och presentera ett familjefokuserat arbetssätt i nämnd vårdsituation med stöd av litteratur och forskning inom området 4, analysera, diskutera och reflektera över lagar och författningar inom distriktssköterskans yrkesroll inklusive delegering",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
ledarskap,ledarskap,18,OMA042_v01;OMA136_v01;OMG401_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA042_v01,"14. visa förmåga att analysera tecken på mäns våld mot kvinnor och våld i nära relationer, våldets möjliga orsaker, konsekvenser och inverkan på jämställdhet samt diskutera och relatera till gällande regelverk inom området + modeller och metoder för hälsofrämjande och förebyggande folkhälsoarbete + nationella och internationella strategier i hälsoarbete + hälso- och sjukvårdsrådgivning, telefonrådgivning och vård på distans + hälsofrämjande omvårdnad vid folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + jämställdhet i relation till hälsa, omvårdnad och folkhälsoarbete > etiskt förhållningssätt i mötet med patienter, närstående och + evidensbaserad omvårdnad > relevanta författningar + ledarskap, kommunikation och konfliktlösning > modeller och arbetssätt vid förbätsringsarbete och kvalietsutveckling + implementering av evidensbaserad vård + mäns våld mot kvinnor och våld i nära relation samt våldets konsekvenser bese ledung soocsievylaousiearasOMADEZNvald Fam -202E 09",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
klinisk utbildning,klinisk utbildning,17,MVG201_v01;MVG501_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG519_v01;OMG520_v01;OMG551_v01,course_content;metadata;teaching_and_learning,MVG501_v01,"Undervisning Föreläsningar, klnisk färdighetsträning, Utteraturstudier och seminarier. I kursen ingår 1,5 hp klinisk utbildning i form av klinisk färdighetsträning. oe lodung soocsievylaousiearas NI V3s0 Fal tam-202301-16",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
genus,genus,16,MVA309_v01;OMA041_v01;OMG402_v01;OMG516_v01;OMG551_v01,course_content;learning_outcomes,OMA041_v01,"--- OCR page 3 --- + hälsofrämjande omvårdnad vid folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + klass, genus och etnicitet I omvårdnad och folkhälsoarbete + jämställdhet i relation till hälsa + relevanta författningar + folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + psykisk ohälsa > åldres ohälsa + evidensbaserad omvårdnad + bedömning och prioritering av vårdbehov inom primärvård och hemsjukvård + etiskt förhållningssätt i mötet med patienter, närstående och + familjefokuserad omvårdnad vid olika komplexa och långvariga sjukdomstillstånd samt vård i livets slutskede för vuxna och äldre + delegering > mäns våld mot kvinnor och våld i nära relation + verksamhetsförlagd utbildning (VFU) inklusive fältstudier inom hemsjukvård och primärvård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
