module_id,program_uid,education_plan_uid,course_code,course_name_sv,module_order,module_code,module_name_exact,credits_hp,grading_scale,related_learning_outcomes_exact,module_description_exact,source_file,confidence,notes
VGSSY_OMG402_MODULE_013,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",13,0022,"Tentamen, individuell (mål 5)",0.5,UG,5,"Tentamen, individuell (mål 5), 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_014,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",14,0023,"Seminarium, individuell bedömning (mål 6,7)",1.0,UV,"6,7","Seminarium, individuell bedömning (mål 6,7), 1 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_015,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",15,0024,"Seminarium, individuell bedömning (mål 9,10, 31)",1.5,UV,"9,10, 31","Seminarium, individuell bedömning (mål 9,10, 31), 1,5 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_016,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",16,0025,"Tentamen, individuell (mål 14)",1.0,UV,14,"Tentamen, individuell (mål 14), 1,0 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_017,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",17,0026,"Klinisk färdighetsträning, individuell (mål 18)",1.5,UG,18,"Klinisk färdighetsträning, individuell (mål 18) 1,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_018,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",18,0027,"Tentamen, individuell (mål 13)",0.5,UG,13,"Tentamen, individuell (mål 13) 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_019,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",19,0028,"Seminarium, individuell bedömning (mål 32, 33)",1.0,UV,"32, 33","Seminarium, individuell bedömning (mål 32, 33), 1,0 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG403_MODULE_001,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",1,0001,"Seminarium, individuell bedömning (mål 1)",0.5,UG,1,"Seminarium, individuell bedömning (mål 1) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_002,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",2,0002,"Klinisk examination, individuell (mål 2, 3, 23)",4.5,UG,"2, 3, 23","Klinisk examination, individuell (mål 2, 3, 23) 4.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",3,0003,"Muntlig examination, individuell (mål 4–6, 10)",3.0,UG,"4–6, 10","Muntlig examination, individuell (mål 4–6, 10) 3.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_004,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",4,0004,"Muntlig examination, individuell (mål 7, 31)",1.0,UG,"7, 31","Muntlig examination, individuell (mål 7, 31) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_005,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",5,0007,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 14)",1.0,UG,14,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 14) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_006,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",6,0009,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 24)",0.5,UG,24,"Tentamen, individuell samt klinisk färdighetsträning, individuell (mål 24) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_007,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",7,0010,"Klinisk examination, individuell (mål 25)",1.5,UV,25,"Klinisk examination, individuell (mål 25) 1.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_008,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",8,0013,"Seminarium, individuell bedömning (mål 30)",0.5,UG,30,"Seminarium, individuell bedömning (mål 30) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_009,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",9,0016,"Skriftlig examination, grupp med individuell bedömning (mål 36)",0.5,UV,36,"Skriftlig examination, grupp med individuell bedömning (mål 36) 0.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_010,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",10,0017,"Tentamen, individuell (mål 11, 12)",1.5,UV,"11, 12","Tentamen, individuell (mål 11, 12) 1.5 hp UV",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_011,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",11,0019,"Seminarium individuell bedömning (mål 9, 13, 37)",1.0,UG,"9, 13, 37","Seminarium individuell bedömning (mål 9, 13, 37) 1.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_012,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",12,0020,"Seminarium, individuell bedömning (mål 8)",1.5,UG,8,"Seminarium, individuell bedömning (mål 8) 1.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_013,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",13,0021,"Seminarium, individuell bedömning (mål 26, 28, 29)",3.0,UG,"26, 28, 29","Seminarium, individuell bedömning (mål 26, 28, 29) 3.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_014,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",14,0022,"Seminarium, individuell bedömning (mål 27)",1.5,UG,27,"Seminarium, individuell bedömning (mål 27) 1.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_015,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",15,0023,"Skriftlig examination, individuell bedömning (mål 35)",0.5,UG,35,"Skriftlig examination, individuell bedömning (mål 35) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",16,0024,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 15-20, 33-34)",7.0,UG,"15-20, 33-34","Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 15-20, 33-34) 7.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_017,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",17,0025,"Seminarium, individuell bedömning (mål 21)",0.5,UG,21,"Seminarium, individuell bedömning (mål 21) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_018,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",18,0026,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 22, 32)",0.5,UG,"22, 32","Muntlig gruppresentation av uppgift, individuell bedömning (mål 22, 32) 0.5 hp UG OMG403 7/7",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG551_MODULE_001,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,1,0001,"Seminarium, individuell bedömning (mål 1)",1.5,UG,1,"Seminarium, individuell bedömning (mål 1) 1.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_002,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,2,0002,"Seminarium, individuell bedömning (mål 2)",2.5,UG,2,"Seminarium, individuell bedömning (mål 2) 2.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_003,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,3,0003,"Seminarium, individuell bedömning (mål 3)",1.0,UG,3,"Seminarium, individuell bedömning (mål 3) 1.0 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_004,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,4,0004,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 4‐10, 21-23)",6.0,UV,"4‐10, 21-23","Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 4‐10, 21-23) 6.0 hp UV",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_005,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,5,0005,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 11-17, 24-26)",6.0,UV,"11-17, 24-26","Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 11-17, 24-26) 6.0 hp UV",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_006,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,6,0006,"Seminarium, individuell bedömning (mål 18)",2.0,UG,18,"Seminarium, individuell bedömning (mål 18) 2.0 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_007,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,7,0007,"Seminarium, individuell bedömning (mål 19)",0.5,UG,19,"Seminarium, individuell bedömning (mål 19) 0.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_008,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,8,0008,"Skriftlig examination, grupp med individuell bedömning (mål 20)",3.0,UG,20,"Skriftlig examination, grupp med individuell bedömning (mål 20) 3.0 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_009,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,9,0009,"Seminarium, individuell bedömning (mål 27)",0.5,UG,27,"Seminarium, individuell bedömning (mål 27) 0.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_010,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,10,0010,"Seminarium, individuell bedömning (mål 28)",0.5,UG,28,"Seminarium, individuell bedömning (mål 28) 0.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_011,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,11,0011,"Seminarium, individuell bedömning (mål 29)",1.0,UG,29,"Seminarium, individuell bedömning (mål 29) 1.0 hp UG OMG551 6/7 Kod Benämning Omf. Betyg",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_012,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,12,0012,"Muntlig gruppresentation av uppgift, individuell bedömning samt skriftlig examination, grupp med individuell bedömning (mål 30)",1.5,UG,30,"Muntlig gruppresentation av uppgift, individuell bedömning samt skriftlig examination, grupp med individuell bedömning (mål 30) 1.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_013,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,13,0013,"Seminarium, individuell bedömning (mål 31)",0.5,UG,31,"Seminarium, individuell bedömning (mål 31) 0.5 hp UG",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_014,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,14,0014,"Skriftlig examination, individuell (mål 32)",2.5,UV,32,"Skriftlig examination, individuell (mål 32) 2.5 hp UV",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG551_MODULE_015,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,15,0015,"Seminarium, individuell bedömning (mål 33)",1.0,UG,33,"Seminarium, individuell bedömning (mål 33) 1.0 hp UG OMG551 7/7",Kurs5_sskgrund_OMG551.pdf,high,
VGSSY_OMG805_MODULE_001,VGSSY,VGSSY,OMG805,Självständigt arbete (examensarbete) i omvårdnad,1,0001,"Självständigt arbete, individuell bedömning (lärandemål 1-13)",15.0,UV,1-13,"Självständigt arbete, individuell bedömning (lärandemål 1-13) 15.0 hp UV OMG805 3/3",Kurs6_sskgrund_OMG805.pdf,high,
VGSSY_OMG552_MODULE_001,VGSSY,VGSSY,OMG552,Omvårdnad vid komplexa vårdbehov II,1,0001,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 1–9, 12–14)",12.0,UV,"1–9, 12–14","Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 1–9, 12–14) 12.0 hp UV",Kurs7_sskgrund_OMG552.docx,high,
VGSSY_OMG552_MODULE_002,VGSSY,VGSSY,OMG552,Omvårdnad vid komplexa vårdbehov II,2,0002,"Seminarium, individuell bedömning (mål 2, 6-7, 11)",0.5,UG,"2, 6-7, 11","Seminarium, individuell bedömning (mål 2, 6-7, 11) 0.5 hp UG",Kurs7_sskgrund_OMG552.docx,high,
VGSSY_OMG552_MODULE_003,VGSSY,VGSSY,OMG552,Omvårdnad vid komplexa vårdbehov II,3,0003,"Seminarium, individuell bedömning (mål 6-8)",0.5,UG,6-8,"Seminarium, individuell bedömning (mål 6-8) 0.5 hp UG",Kurs7_sskgrund_OMG552.docx,high,
VGSSY_OMG552_MODULE_004,VGSSY,VGSSY,OMG552,Omvårdnad vid komplexa vårdbehov II,4,0004,"Muntlig gruppresentation av uppgift, individuell bedömning (10, 12)",1.0,UG,"10, 12","Muntlig gruppresentation av uppgift, individuell bedömning (10, 12) 1.0 hp UG",Kurs7_sskgrund_OMG552.docx,high,
VGSSY_OMG552_MODULE_005,VGSSY,VGSSY,OMG552,Omvårdnad vid komplexa vårdbehov II,5,0005,"Klinisk examination, individuell (mål 1–8, 11-13)",1.0,UG,"1–8, 11-13","Klinisk examination, individuell (mål 1–8, 11-13) 1.0 hp UG",Kurs7_sskgrund_OMG552.docx,high,
